,country,year,value,category,region,directions,capitals,official_language
33,Austria,2006,76934.9515340371,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
34,Austria,2005,79588.5018807541,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
35,Austria,2004,78388.9974250799,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
36,Austria,2003,78023.9538963192,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
37,Austria,2002,72126.5914446168,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
38,Austria,2001,70299.4711482287,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
39,Austria,2000,66274.7432545115,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
40,Austria,1999,65660.1336422327,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
41,Austria,1998,67047.2506680177,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
42,Austria,1997,67455.8927304212,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
43,Austria,1996,67667.2626980903,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
44,Austria,1995,64202.1592201769,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
45,Austria,1994,61189.1025048542,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
46,Austria,1993,60790.7577213156,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
47,Austria,1992,60432.2493410185,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
48,Austria,1991,65903.513308256,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
49,Austria,1990,62297.1655681668,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
50,Belarus,2014,60615.645730992,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
51,Belarus,2013,61510.987153813,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
52,Belarus,2012,60636.851387067,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
53,Belarus,2011,61128.400592577,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
54,Belarus,2010,61632.492704327,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
55,Belarus,2009,59596.205375555,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
56,Belarus,2008,63846.103794367,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
57,Belarus,2007,61563.881729088,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
58,Belarus,2006,62229.398882869,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
59,Belarus,2005,59664.73908178,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
60,Belarus,2004,58457.64761596,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
61,Belarus,2003,54845.145835185,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
62,Belarus,2002,53843.704423847,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
63,Belarus,2001,53783.847673632,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
64,Belarus,2000,53686.857490672,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
65,Belarus,1999,55033.952116896,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
66,Belarus,1998,57426.329584039,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
67,Belarus,1997,60971.816305307,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
